Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2022-02-09,19:45,Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,1.8,0.6,74,51658.0,Rúben Dias,4-3-3,Darren England,Match Report,,14,6,19.8,0.0,1,1,2,0,0,0,654.0,761.0,11006.0,2674.0,23.0,9.0,25.0,2.0,7.0,5,10.0,847.0,34.0,131.0,436.0,283.0,9.0,19.0,643.0,0,0,0,7,12,2,1.0,0.0,0
2022-02-12,17:30,Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.9,0.5,71,27010.0,Fernandinho,4-3-3,Andre Marriner,Match Report,,21,8,11.8,0.0,0,1,3,0,0,0,661.0,752.0,11863.0,3300.0,11.0,12.0,38.0,6.0,5.0,3,7.0,825.0,51.0,188.0,357.0,285.0,16.0,19.0,656.0,2,0,0,8,6,2,1.0,0.0,0
2022-02-15,20:00,Champions Lg,Round of 16,Tue,Away,W,5,0,pt Sporting CP,2.1,0.1,63,48129.0,Rúben Dias,4-3-3,Srdjan Stojanovic,Match Report,Leg 1 of 2,15,6,15.3,0.0,0,0,0,0,0,0,645.0,706.0,11203.0,3284.0,14.0,6.0,26.0,9.0,11.0,6,8.0,794.0,48.0,178.0,459.0,160.0,14.0,21.0,633.0,1,0,0,16,9,3,0.0,0.0,0
2022-02-19,17:30,Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.6,1.1,71,53201.0,İlkay Gündoğan,4-3-3,Anthony Taylor,Match Report,,20,3,16.2,0.0,1,1,5,0,0,0,721.0,823.0,12710.0,2842.0,23.0,10.0,40.0,3.0,13.0,10,4.0,907.0,20.0,74.0,411.0,425.0,12.0,20.0,717.0,0,0,0,5,6,1,0.0,0.0,0
2022-02-26,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.9,0.5,67,39105.0,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,,13,8,16.3,0.0,0,0,2,0,0,0,619.0,721.0,10291.0,2410.0,15.0,4.0,24.0,2.0,17.0,8,2.0,811.0,52.0,193.0,375.0,251.0,17.0,21.0,610.0,2,0,0,14,7,2,0.0,0.0,0
2022-03-01,19:15,FA Cup,Fifth round proper,Tue,Away,W,2,0,P'borough Utd,,,76,13405.0,Oleksandr Zinchenko,4-3-3,Andy Madley,Match Report,,23,5,,,0,0,3,0,0,0,,,,,,,,,,7,,,,,,,,,,2,0,0,7,7,0,,,0
2022-03-06,16:30,Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,3.1,0.5,69,53165.0,Kevin De Bruyne,4-3-3,Michael Oliver,Match Report,,24,10,15.2,1.0,0,0,2,0,0,0,721.0,788.0,12245.0,3455.0,14.0,9.0,41.0,6.0,13.0,8,8.0,880.0,79.0,257.0,405.0,226.0,16.0,28.0,711.0,0,0,0,10,14,0,0.0,0.0,0
2022-03-09,20:00,Champions Lg,Round of 16,Wed,Home,D,0,0,pt Sporting CP,1.5,0.8,68,51213.0,Fernandinho,4-3-3,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won,14,4,17.1,1.0,0,0,3,0,0,0,656.0,721.0,11117.0,3286.0,12.0,7.0,23.0,0.0,11.0,7,5.0,794.0,46.0,116.0,413.0,272.0,19.0,27.0,639.0,1,0,0,9,11,3,0.0,0.0,0
2022-03-14,20:00,Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.9,0.8,73,25309.0,Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,,19,4,17.2,0.0,0,0,1,0,0,0,697.0,815.0,12195.0,3410.0,27.0,6.0,36.0,0.0,13.0,9,9.0,912.0,49.0,193.0,413.0,310.0,15.0,24.0,688.0,1,0,0,11,6,3,0.0,0.0,0
2022-03-20,15:00,FA Cup,Quarter-finals,Sun,Away,W,4,1,Southampton,,,65,29702.0,İlkay Gündoğan,4-3-3,Mike Dean,Match Report,,19,6,,,1,1,4,0,0,0,,,,,,,,,,12,,,,,,,,,,1,0,0,5,4,2,,,1
